Swim Time,Bike Time,Run Time,Finish Time
01:14:49,04:42:39,03:39:29,09:45:59
01:20:52,04:52:32,03:23:01,09:46:11
01:04:50,04:54:36,03:36:31,09:46:31
01:11:02,04:33:29,03:51:49,09:46:51
01:05:02,04:51:22,03:40:16,09:47:12
01:16:09,04:58:46,03:22:15,09:47:15
01:12:59,04:53:03,03:29:32,09:47:18
01:29:34,04:46:01,03:21:53,09:47:45
01:05:17,05:07:19,03:25:01,09:47:48
01:07:05,04:57:24,03:35:35,09:47:53
01:09:33,04:49:01,03:41:27,09:48:08
01:06:29,05:04:52,03:26:34,09:48:12
01:17:17,04:53:30,03:27:35,09:48:14
01:08:53,04:58:46,03:30:57,09:48:27
01:04:50,04:56:36,03:36:32,09:48:32
01:16:26,04:55:50,03:25:59,09:48:32
01:02:06,04:39:01,03:59:20,09:48:40
01:03:57,04:52:12,03:45:21,09:49:05
01:06:24,04:53:31,03:40:51,09:49:08
01:10:20,04:45:41,03:47:19,09:49:46
01:08:06,05:03:43,03:28:25,09:49:49
01:17:29,04:42:15,03:39:17,09:49:55
01:05:07,04:55:31,03:40:42,09:49:57
01:00:55,04:57:24,03:39:32,09:50:04
01:00:51,04:56:25,03:44:37,09:50:05
01:16:34,05:03:29,03:16:07,09:50:25
00:55:23,05:09:57,03:36:56,09:50:48
01:01:09,05:01:11,03:40:41,09:50:49
01:05:32,04:56:23,03:39:37,09:50:56
01:06:34,04:45:54,03:48:10,09:51:13
01:10:21,04:40:45,03:50:58,09:51:16
01:14:38,05:02:52,03:24:23,09:51:18
01:16:30,05:04:18,03:17:54,09:51:19
01:23:12,04:56:21,03:23:34,09:51:32
01:03:11,05:06:19,03:31:43,09:51:35
01:19:58,04:58:21,03:24:20,09:51:36
01:11:45,04:52:48,03:36:21,09:51:42
01:06:32,05:08:23,03:28:19,09:51:44
01:07:41,04:44:29,03:50:24,09:51:54
01:20:26,04:49:41,03:31:00,09:51:55
01:13:50,04:48:53,03:38:25,09:52:11
01:04:51,04:55:55,03:39:13,09:52:15
00:58:56,05:08:52,03:36:33,09:52:16
01:16:44,05:01:24,03:25:22,09:52:19
01:08:46,04:49:46,03:45:07,09:52:21
01:11:12,05:06:31,03:26:05,09:52:21
01:09:49,04:54:10,03:38:05,09:52:21
01:01:04,05:05:12,03:34:59,09:52:27
01:12:53,04:46:28,03:44:13,09:52:29
01:09:18,04:57:55,03:33:51,09:52:31
01:13:03,04:47:13,03:40:23,09:52:38
01:11:28,05:02:25,03:28:42,09:52:38
01:00:25,04:51:33,03:48:24,09:52:42
01:03:55,04:48:52,03:49:42,09:52:43
01:07:43,05:16:44,03:11:51,09:52:44
01:13:23,04:59:34,03:28:08,09:53:02
01:11:59,04:52:59,03:33:45,09:53:06
01:08:32,05:01:57,03:30:28,09:53:07
01:26:42,04:58:49,03:16:05,09:53:28
01:31:30,05:01:59,03:09:51,09:53:29
01:11:19,05:13:16,03:16:25,09:53:34
01:19:41,04:58:52,03:23:25,09:53:54
01:00:23,04:39:28,04:05:21,09:54:00
01:03:11,04:51:13,03:48:25,09:54:02
01:06:42,04:50:46,03:45:08,09:54:16
01:08:05,04:54:26,03:40:01,09:54:21
01:16:05,05:00:39,03:29:09,09:54:27
01:08:22,04:55:01,03:39:40,09:54:32
01:14:06,05:05:47,03:25:20,09:54:38
01:18:02,04:54:44,03:29:53,09:54:51
01:07:17,05:10:18,03:26:06,09:54:57
01:08:05,04:58:28,03:37:38,09:54:58
01:13:10,04:48:27,03:43:28,09:55:04
01:24:01,04:56:23,03:19:26,09:55:14
01:03:33,04:40:04,04:00:24,09:55:17
01:20:10,04:48:13,03:38:20,09:55:32
01:08:10,05:07:43,03:28:52,09:55:33
01:15:19,04:41:28,03:48:30,09:55:35
01:03:46,05:07:17,03:35:41,09:55:44
00:51:09,04:57:17,03:57:30,09:55:44
01:09:28,04:59:51,03:33:56,09:55:47
01:09:29,05:01:53,03:33:23,09:56:03
01:11:51,04:48:16,03:46:43,09:56:06
01:02:41,04:48:25,03:57:12,09:56:15
01:06:39,05:15:34,03:20:23,09:56:17
01:01:54,04:51:26,03:52:21,09:56:17
01:18:26,04:53:06,03:35:42,09:56:19
01:05:01,05:11:55,03:30:48,09:56:45
01:07:01,04:44:43,03:56:21,09:57:02
01:14:06,05:07:12,03:24:36,09:57:07
01:03:20,04:45:17,03:57:26,09:57:20
01:21:02,04:56:21,03:26:56,09:57:23
00:53:48,05:20:23,03:29:38,09:57:30
01:19:48,04:56:49,03:32:50,09:57:32
01:07:36,04:59:29,03:39:01,09:57:50
01:14:09,05:15:31,03:19:30,09:57:57
01:03:52,04:55:04,03:49:47,09:58:08
01:11:24,04:51:24,03:46:22,09:58:16
01:11:20,05:03:21,03:36:19,09:58:23
01:16:23,05:04:26,03:28:53,09:58:41
01:09:18,05:12:56,03:25:45,09:58:42
01:14:23,04:47:46,03:47:19,09:58:56
01:12:22,05:02:20,03:35:31,09:59:17
01:10:48,05:01:13,03:37:49,09:59:27
01:13:45,04:59:15,03:33:53,09:59:28
01:10:43,04:59:39,03:40:24,09:59:30
01:00:02,05:23:55,03:23:47,09:59:36
01:07:33,04:55:16,03:44:00,09:59:41
01:07:42,04:54:05,03:47:46,09:59:43
01:00:39,04:45:39,03:58:32,09:59:47
01:04:44,05:12:30,03:34:23,09:59:54
01:21:14,05:03:51,03:26:09,09:59:54
01:06:35,05:01:25,03:40:10,09:59:55
01:20:30,04:48:03,03:36:47,09:59:58
01:12:56,05:00:29,03:35:05,09:59:59
01:25:35,05:00:31,03:19:02,10:00:02
01:11:08,04:49:07,03:51:00,10:00:05
01:11:56,05:04:58,03:28:37,10:00:05
01:06:10,05:05:29,03:38:33,10:00:08
01:15:15,05:10:16,03:21:37,10:00:08
01:20:59,05:07:55,03:17:04,10:00:09
01:17:11,05:09:13,03:21:16,10:00:11
01:07:50,05:12:35,03:31:12,10:00:23
01:15:17,05:04:18,03:26:05,10:00:27
01:04:35,05:01:47,03:43:51,10:00:47
01:18:04,04:55:21,03:37:37,10:00:52
01:18:12,05:03:59,03:27:11,10:01:04
01:16:59,05:08:49,03:25:11,10:01:05
01:32:31,05:04:46,03:12:03,10:01:28
01:02:33,04:53:10,03:57:56,10:01:32
01:09:45,05:05:42,03:35:02,10:01:47
01:14:35,05:12:37,03:25:44,10:01:56
01:07:19,04:55:35,03:42:11,10:02:07
01:05:28,05:04:17,03:40:01,10:02:09
01:03:30,05:05:09,03:42:52,10:02:30
01:15:29,05:11:16,03:25:23,10:02:32
01:08:52,04:48:31,03:56:45,10:02:47
00:59:42,05:16:59,03:29:51,10:02:51
01:10:19,04:37:24,04:06:51,10:03:20
00:53:52,05:32:21,03:31:08,10:03:52
01:02:59,05:08:12,03:43:01,10:03:53
01:15:40,05:05:23,03:33:25,10:03:59
01:11:41,04:59:28,03:41:33,10:04:04
01:13:23,04:54:40,03:45:11,10:04:25
01:26:02,05:00:14,03:19:14,10:04:28
01:20:56,04:59:01,03:25:20,10:04:58
01:14:11,05:28:06,03:07:19,10:04:59
01:13:31,04:59:55,03:41:48,10:05:14
01:10:35,05:02:55,03:41:14,10:05:18
01:10:12,05:21:37,03:22:47,10:05:20
01:22:24,04:55:05,03:33:23,10:05:20
01:10:51,05:11:04,03:32:18,10:05:21
01:14:38,04:58:06,03:40:09,10:05:39
01:15:57,05:18:28,03:20:34,10:06:17
01:00:59,04:57:51,03:55:17,10:06:20
01:10:40,05:14:04,03:30:46,10:06:21
01:15:27,05:09:01,03:31:05,10:06:25
01:30:09,05:05:03,03:21:25,10:06:36
01:02:41,05:00:38,03:53:46,10:06:39
01:18:56,04:57:26,03:39:52,10:06:44
01:09:42,05:08:33,03:35:15,10:06:47
01:15:47,05:01:25,03:36:53,10:06:53
01:22:27,04:52:18,03:34:23,10:07:04
01:13:21,04:57:27,03:43:39,10:07:07
01:06:21,05:11:29,03:40:17,10:07:29
01:09:23,04:51:51,03:56:17,10:07:49
01:17:39,05:04:40,03:33:37,10:07:50
01:16:31,05:12:38,03:29:30,10:08:15
01:09:58,05:24:24,03:23:15,10:08:18
01:12:06,04:54:12,03:52:45,10:08:24
01:20:34,04:55:18,03:41:21,10:08:35
01:05:07,05:07:33,03:46:52,10:08:52
01:13:22,05:09:33,03:35:51,10:08:54
01:20:31,05:12:48,03:19:55,10:08:56
01:34:31,04:49:20,03:34:37,10:08:59
01:08:49,05:09:35,03:39:25,10:09:07
01:19:59,05:16:34,03:22:33,10:09:07
01:17:06,05:01:05,03:38:45,10:09:16
01:14:42,05:04:26,03:40:33,10:09:29
01:26:20,04:53:03,03:35:46,10:09:49
01:12:58,05:03:55,03:43:45,10:09:50
01:14:18,04:55:54,03:47:13,10:09:55
01:09:41,05:08:53,03:41:08,10:09:58
01:13:33,05:16:01,03:32:10,10:10:02
01:17:13,05:03:50,03:39:46,10:10:08
01:12:14,05:05:39,03:37:51,10:10:14
01:02:03,05:00:13,03:59:51,10:10:22
01:14:34,04:51:01,03:49:22,10:10:23
01:16:37,04:49:38,03:54:25,10:10:26
01:00:34,05:02:33,03:54:01,10:10:40
01:25:40,05:02:02,03:31:28,10:10:41
01:09:58,04:49:45,04:02:54,10:10:43
01:28:02,04:53:03,03:38:41,10:11:22
01:08:41,04:57:47,03:54:09,10:11:33
01:13:40,04:48:45,03:56:45,10:11:48
01:03:51,05:04:49,03:51:37,10:11:56
01:30:11,04:58:23,03:32:36,10:12:13
01:26:16,04:59:07,03:33:54,10:12:21
01:18:54,05:01:04,03:39:00,10:12:21
01:00:32,05:07:37,03:54:57,10:12:23
01:18:19,05:17:36,03:22:10,10:12:30
01:19:55,05:00:21,03:42:24,10:12:44
01:33:13,04:59:55,03:29:02,10:12:46
01:15:04,05:03:47,03:40:28,10:13:12
01:13:36,04:56:39,03:51:31,10:13:14
01:17:45,04:57:10,03:49:03,10:13:17
01:10:45,04:50:01,04:00:45,10:13:18
01:03:37,04:49:43,04:12:09,10:13:20
01:15:44,05:03:00,03:44:01,10:13:28
01:18:22,04:56:29,03:47:55,10:13:34
01:19:45,04:54:20,03:49:25,10:13:38
01:14:47,04:45:36,04:00:58,10:13:46
01:14:06,04:56:14,03:54:11,10:13:54
01:28:26,04:59:15,03:29:43,10:14:02
01:09:17,05:01:04,03:51:39,10:14:08
01:16:22,04:55:05,03:54:47,10:14:09
01:17:42,05:05:12,03:36:22,10:14:12
01:13:58,05:04:10,03:36:48,10:14:15
01:32:45,05:28:22,03:00:48,10:14:23
